name,postal,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Alabama,AL,0.070712593,0.049885509,0.051824965,0.051766052,0.011320221,0.017241379,0.024724062,0.02619339,0.019811833,0.021015067,0.027893498,0.024106517,0.029428212,0.027400768
Alaska,AK,0.004504505,0.004716981,0.010752688,0.009803922,0,0.00862069,0.00877193,0.008,0.006756757,0.007352941,0.013605442,0.012738854,0.018181818,0.016574586
Arizona,AZ,0.112266112,0.123760241,0.104577743,0.11002886,0.019287603,0.032272457,0.04238921,0.042176249,0.03767154,0.049094708,0.046430856,0.046277666,0.055816419,0.054754849
Arkansas,AR,0.031035782,0.02636357,0.025294118,0.020281391,0.005078246,0.009293967,0.01058687,0.010321317,0.00964791,0.01038961,0.015635012,0.01479545,0.012950904,0.012126312
California,CA,0.015466797,0.015735064,0.014210056,0.016834203,0.003208198,0.005082181,0.00683977,0.008214648,0.010013113,0.009943752,0.011737656,0.014038254,0.015216159,0.014024929
Colorado,CO,0.2481071,0.230345412,0.249761779,0.289412027,0.070428016,0.103176471,0.134473105,0.124878559,0.12341175,0.142912441,0.14321703,0.134950955,0.16435491,0.185571031
Connecticut,CT,0.006723716,0.005018821,0.0058102,0.005280528,0.000615764,0.001740139,0.002247191,0.002831524,0.001819505,0.00271423,0.002463054,0.003604194,0.003996311,0.004119747
Delaware,DE,0.003681885,0.004620462,0.004914005,0.002347418,0.000718907,0.001369863,0.002103787,0.002136752,0.002074689,0.001702128,0.002071251,0.001412928,0.001874414,0.002307185
Florida,FL,0.015345509,0.014393939,0.013875811,0.014041746,0.003690567,0.005973716,0.007651377,0.008071964,0.007928994,0.008414034,0.0115026,0.010575443,0.013025386,0.013764736
Georgia,GA,0.030606969,0.029976388,0.026941748,0.026440038,0.005499466,0.008094544,0.010054198,0.010059985,0.009793686,0.011816588,0.011299691,0.010849024,0.012610246,0.012066873
Hawaii,HI,0.010321797,0.008777063,0.008917955,0.008527572,0.002184599,0.0029615,0.005069124,0.005792305,0.004637681,0.005491488,0.005993766,0.008658009,0.009247583,0.008861491
Idaho,ID,0.085303839,0.096479138,0.099951303,0.116861436,0.021801629,0.033894449,0.04238477,0.0440897,0.04606947,0.052688172,0.058518519,0.053342246,0.053766401,0.066216216
Illinois,IL,0.015214518,0.013259503,0.012486045,0.014017427,0.002266379,0.004568992,0.005853937,0.006888408,0.004930283,0.005262433,0.006085718,0.006342345,0.005413785,0.006939976
Indiana,IN,0.012277435,0.009112879,0.009501056,0.009851455,0.001778443,0.00335895,0.004748697,0.004588462,0.003765077,0.004027407,0.005084468,0.004423522,0.006232215,0.00552255
Iowa,IA,0.049614403,0.043068792,0.037879542,0.047724804,0.008471969,0.015377985,0.019606721,0.019493829,0.019653275,0.02052747,0.025282427,0.026443536,0.027529389,0.034853257
Kansas,KS,0.226861193,0.20439691,0.199753086,0.208547979,0.04938335,0.077727543,0.110450951,0.098460628,0.096195145,0.107766937,0.114694076,0.142696337,0.146427926,0.139836221
Kentucky,KY,0.048872564,0.045229378,0.041246889,0.048215404,0.01074288,0.015745692,0.020889946,0.023636093,0.032412555,0.028897338,0.041152263,0.035644595,0.033062397,0.037573994
