name,postal,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Alabama,AL,0.008201203,0.006378803,0.006452914,0.004147004,0.005801613,0.010024058,0.010448859,0.010403917,0.009227429,0.01407613,0.010233653,0.007428171,0.008038585,0.008066581
Alaska,AK,0,0,0,0,0.009708738,0.00862069,0.00877193,0.008,0.006756757,0.007352941,0.006802721,0.006369427,0.006060606,0
Arizona,AZ,0.008731809,0.003880983,0.00730071,0.008477633,0.009954892,0.010856633,0.009909166,0.008915305,0.011570544,0.012999071,0.012978704,0.011618096,0.012950621,0.010237069
Arkansas,AR,0.011224105,0.013363352,0.013970588,0.005840191,0.007461913,0.010115533,0.008314802,0.007420801,0.008353678,0.008544087,0.007657311,0.008176433,0.005951074,0.006459117
California,CA,0.000587165,0.00047053,0.000467708,0.000521695,0.000715497,0.000657448,0.000622696,0.000594884,0.000801373,0.000614549,0.000702941,0.000681349,0.000641404,0.000533892
Colorado,CO,0.036321738,0.03485908,0.032821599,0.030904831,0.041763943,0.038470588,0.036592681,0.032060384,0.032645616,0.030579856,0.032182895,0.034021683,0.03396081,0.031364903
Connecticut,CT,0.000611247,0.000627353,0.000645578,0.000660066,0.000615764,0.000580046,0,0.000471921,0.000363901,0.000387747,0.000351865,0.000327654,0.000307409,0.0005493
Delaware,DE,0.005154639,0.00330033,0.003276003,0.00312989,0.003594536,0.004109589,0.004207574,0.003739316,0.00373444,0.002553191,0.002899751,0.002119392,0.001562012,0.002307185
Florida,FL,0.000376577,0.000426136,0.000396452,0.00028463,0.000479294,0.000341355,0.000271876,0.000273626,0.000295858,0.000317511,0.000203329,0.000223425,0.000172359,0.000137877
Georgia,GA,0.012304829,0.011292475,0.011165049,0.009726157,0.01083477,0.011737089,0.010446941,0.007248188,0.009246831,0.008933115,0.006943184,0.006614405,0.007956465,0.005561548
Hawaii,HI,0.003035823,0.003510825,0.004756243,0.003411029,0.003823048,0.003948667,0.003686636,0.003309888,0.002898551,0.00247117,0.002397507,0.001515152,0.001471206,0.001155847
Idaho,ID,0.000889906,0.001002381,0.001217434,0.001155772,0.000838524,0.000909918,0.001002004,0.001292284,0.001767215,0.002380952,0,0,0,0
Illinois,IL,0.029075202,0.034301107,0.03266937,0.033582291,0.042059769,0.04771135,0.040144683,0.032151867,0.037310942,0.04234423,0.041033277,0.046475097,0.048806266,0.051772217
Indiana,IN,0.038694286,0.041838687,0.043560396,0.047606767,0.0532597,0.069163825,0.060766515,0.053036296,0.061887048,0.063810869,0.064106469,0.069295077,0.068273817,0.064199649
Iowa,IA,0.103187403,0.110174018,0.094549527,0.093952927,0.139763826,0.170586768,0.157406878,0.133331395,0.146934089,0.156505388,0.152291953,0.17277721,0.175314113,0.192477898
Kansas,KS,0.018366186,0.018270945,0.017679012,0.016371256,0.030267215,0.032104855,0.032400085,0.025784488,0.027871148,0.029353398,0.028673519,0.038791237,0.0399431,0.033802137
Kentucky,KY,0.010509132,0.012707301,0.013511912,0.010331872,0.016317016,0.015250545,0.015370245,0.014270849,0.021123749,0.01808196,0.024103469,0.022180304,0.019678543,0.015902478
Louisiana,LA,0.00045427,0.000610035,0.000469925,0.000359799,0.000593613,0.000608051,0.00046184,0.000338581,0.000338914,0.000219909,0.000232992,0.000398367,9.42152E-05,8.52806E-05
Maine,ME,0.000658328,0.001312336,0.00077101,0.00078064,0.001536098,0.001441961,0.001270648,0.000554324,0.000989609,0.001059883,0.001211632,0.001715854,0.001650165,0.001261034
Maryland,MD,0.001604707,0.002536783,0.0029036,0.003471127,0.003465204,0.005007364,0.003836668,0.003093923,0.00355412,0.003472222,0.004229323,0.004259997,0.003120499,0.002723109
Massachussetts,MA,0.0016,0.00334728,0.001624695,0.001587302,0.001491424,0.002235469,0.001259446,0.001066667,0.001367054,0.000886132,0.001692047,0.001858045,0.001917913,0.003036053
Michigan,MI,0.023041475,0.025416468,0.023973881,0.022430068,0.029964367,0.032624456,0.026804124,0.025994999,0.029871121,0.031319173,0.032262939,0.036419753,0.031442284,0.029469214
Minnesota,MN,0.061100066,0.077471566,0.063377595,0.066441322,0.097368516,0.112739413,0.099210696,0.087281361,0.094638003,0.106179775,0.092738884,0.103340832,0.094852042,0.092424546
Mississippi,MS,0.008064516,0.00944937,0.00826964,0.005486371,0.007083228,0.008757819,0.012377332,0.010357433,0.011560391,0.013322014,0.011991893,0.013989232,0.011042508,0.01321812
Missouri,MO,0.048241852,0.050568562,0.047982392,0.038796787,0.053061001,0.065257738,0.069039183,0.065825958,0.073344652,0.069825436,0.059072209,0.070914723,0.069818274,0.065377214
Montana,MT,0.006581494,0.008629762,0.008145849,0.008422235,0.009372071,0.011204912,0.011293634,0.008662473,0.010541052,0.012277682,0.010825323,0.009370441,0.01304971,0.009861933
Nebraska,NE,0.035028705,0.037064646,0.038005336,0.032877698,0.050458129,0.054441609,0.04889935,0.03879081,0.039950615,0.039280409,0.038804791,0.037848059,0.037381904,0.033321753
Nevada,NV,0.002684564,0.001282051,0.0015625,0.001510574,0.003236246,0.002849003,0.002312139,0.003030303,0.001611604,0.002827521,0.002497918,0.001260239,0.001776199,0.002175095
New Hampshire,NH,0.00245098,0.00245098,0.00255102,0.002314815,0.002207506,0.002217295,0.001972387,0.001626016,0.00117096,0.002673797,0.001270648,0.00240096,0.002386635,0.002109705
New Jersey,NJ,0.000339789,0.000338409,0.000337382,0.000321027,0.000636943,0.000589275,0.000506714,0.000434499,0.000616776,0.00044287,0.000623053,0.000728996,0.000689299,0.000626566
New Mexico,NM,0.000318471,0.000308547,0,0.000320718,0.000320924,0.000284495,0.000259269,0,0.000178731,0.000213767,0,0.000127681,0.000140786,0.000123808
New York,NY,0.001271802,0.002495544,0.00182083,0.002621723,0.003942407,0.003646742,0.003136506,0.002577873,0.001986097,0.002560254,0.001766654,0.003733505,0.003263145,0.002562674
North Carolina,NC,0.128385626,0.132666216,0.161728033,0.152689609,0.179969921,0.210239218,0.202493349,0.190890385,0.220590729,0.199896139,0.210082558,0.202767107,0.192927308,0.198783998
North Dakota,ND,0.005123905,0.005135667,0.003891051,0.002915452,0.004374627,0.005525965,0.00499087,0.003031276,0.003304087,0.004752181,0.004230045,0.004260386,0.003523786,0.003690939
Ohio,OH,0.024570502,0.027246269,0.027972504,0.025383525,0.034250731,0.041552538,0.040296925,0.03388498,0.039315463,0.03968694,0.043447694,0.050158874,0.045823549,0.044133379
Oklahoma,OK,0.066511228,0.080927052,0.075392039,0.070231615,0.099500936,0.111703177,0.126085523,0.101682516,0.095119887,0.128708589,0.117852162,0.156749083,0.140882053,0.132512112
Oregon,OR,0.000619323,0.000878992,0.000738397,0.000738825,0.000686872,0.00077068,0.000688563,0.000666707,0.000956184,0.000825253,0.000779018,0.000709471,0.000451513,0.000261335
