name,postal,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Alabama,AL,0.375432841,0.398429833,0.376890502,0.294866295,0.335078534,0.393611334,0.381751288,0.415911873,0.379229238,0.42020222,0.389150516,0.337070778,0.366629386,0.365620999
Alaska,AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,AZ,0.002286902,0.003018542,0.00335438,0.004329004,0.003733084,0.002825699,0.003165428,0.004571951,0,0,0,0,0,0
Arkansas,AR,0.191186441,0.213741012,0.162279412,0.129705336,0.150637372,0.182387677,0.14990815,0.154932761,0.15327823,0.17012987,0.159554018,0.156548099,0.150654862,0.159844585
California,CA,0.014335429,0.01533373,0.011692689,0.012546125,0.012463504,0.01307592,0.012058553,0.01456591,0.016747883,0.016387986,0.014183307,0.01383569,0.013893264,0.012063903
Colorado,CO,0.012948535,0.012396694,0.011328745,0.011268548,0.021789883,0.015294118,0.020695861,0.019131605,0.011573783,0.008438492,0.006927825,0.007227672,0.008916777,0.008467967
Connecticut,CT,0.039119804,0.047051443,0.038734668,0.04290429,0.037561576,0.024941995,0.023595506,0.033506371,0.034934498,0.024428073,0.020056298,0.022608126,0.024285275,0.021148036
Delaware,DE,0.390279823,0.436963696,0.40950041,0.424100156,0.442846873,0.560958904,0.483169705,0.498397436,0.432780083,0.476170213,0.458989229,0.405157188,0.397688222,0.450560316
Florida,FL,0.016192807,0.019128788,0.01600674,0.014895636,0.015529141,0.01416624,0.012040238,0.015630879,0.016952663,0.012890935,0.012286868,0.014125416,0.01482284,0.013488981
Georgia,GA,0.258401406,0.311466995,0.275970874,0.233899906,0.235820405,0.289622794,0.254732543,0.28324169,0.279940343,0.310680161,0.239698675,0.220620144,0.272396322,0.255089659
Hawaii,HI,0.007893139,0.007606788,0.006539834,0.006253553,0.006007646,0.004935834,0.004608295,0.00413736,0.003478261,0.003569467,0.002637257,0.002813853,0.002311896,0.001926411
Idaho,ID,0.001779812,0.001754166,0.00146092,0.001926287,0.001677048,0.001592357,0.001302605,0.001368301,0.001279707,0.001459293,0.001049383,0.001069519,0.001422149,0.001196911
Illinois,IL,0.002353093,0.002155043,0.001880251,0.002191914,0.001976493,0.00224296,0.00230826,0.003005851,0.002054284,0.001759244,0.001424317,0.001653498,0.001831997,0.002649809
Indiana,IN,0.031013616,0.027489679,0.025613957,0.026562822,0.023915384,0.02773678,0.026853253,0.033131863,0.03176643,0.03250693,0.030436514,0.033602532,0.037653801,0.037109865
Iowa,IA,0.010116412,0.012313401,0.009780986,0.013397707,0.012944601,0.011476786,0.011367321,0.017763952,0.019456742,0.014488561,0.013003915,0.014198117,0.015158309,0.020527313
Kansas,KS,0.002069429,0.00198059,0.001283951,0.001833581,0.002055498,0.001826734,0.001966232,0.002161042,0.00140056,0.001460779,0.001367506,0.001385401,0.001648302,0.001710227
Kentucky,KY,0.049382716,0.069028645,0.059855399,0.062408683,0.07236242,0.087740147,0.063519022,0.08012487,0.112460446,0.116434305,0.111531032,0.098412905,0.104870745,0.086936892
Louisiana,LA,0.04345851,0.055055666,0.046992481,0.040537299,0.051050695,0.066277514,0.057152754,0.052734044,0.051176032,0.046400821,0.039026095,0.038442386,0.041972866,0.038845301
Maine,ME,0.053982883,0.056430446,0.057825752,0.071818891,0.062211982,0.038932949,0.037484117,0.05654102,0.072736269,0.050344462,0.032714055,0.035689774,0.037953795,0.033102144
Maryland,MD,0.142818936,0.164129883,0.139372822,0.16598296,0.171816344,0.217673049,0.195670047,0.215911602,0.184168013,0.167162698,0.158051378,0.174522468,0.16862698,0.184428766
